kode,kecamatan,kode_kabkot,kabkot
73.71.01,Mariso,73.71,Kota Makassar
73.71.02,Mamajang,73.71,Kota Makassar
73.71.03,Makassar,73.71,Kota Makassar
73.71.04,Ujung Pandang,73.71,Kota Makassar
73.71.05,Wajo,73.71,Kota Makassar
73.71.06,Bontoala,73.71,Kota Makassar
73.71.07,Tallo,73.71,Kota Makassar
73.71.08,Ujung Tanah,73.71,Kota Makassar
73.71.09,Panakkukang,73.71,Kota Makassar
73.71.10,Tamalate,73.71,Kota Makassar
73.71.11,Biringkanaya,73.71,Kota Makassar
73.71.12,Manggala,73.71,Kota Makassar
73.71.13,Rappocini,73.71,Kota Makassar
73.71.14,Tamalanrea,73.71,Kota Makassar
73.71.15,Kepulauan Sangkarrang,73.71,Kota Makassar
